Order_ID,Order_Date,City,Product_Category,Sales_Channel,Weather,Discount_Pct,Delivery_Time_Min,Order_Value,Customer_Rating,Issue_Type,Repeat_Customer
ORD100034,2025-01-05 06:00:00,Pune,Biryani,App,Cloudy,20,31,196.46,4.8,Late Delivery,Yes
ORD100035,2025-01-05 09:00:00,Pune,Dessert,App,Rainy,0,89,772.63,3.9,Late Delivery,Yes
ORD100036,2025-01-05 12:00:00,Pune,Dessert,Phone,Rainy,5,48,187.72,3.2,None,Yes
ORD100037,2025-01-05 15:00:00,Chennai,Dessert,Web,Cloudy,15,47,180.64,4.1,None,Yes
ORD100038,2025-01-05 18:00:00,Mumbai,Burger,App,Rainy,5,40,767.96,2.5,None,No
ORD100039,2025-01-05 21:00:00,Mumbai,South Indian,Phone,Sunny,25,80,641.92,3.9,None,Yes
ORD100040,2025-01-06 00:00:00,Bengaluru,Dessert,App,Rainy,30,77,537.27,N/A,None,Yes
ORD100041,2025-01-06 03:00:00,Chennai,Pizza,App,Rainy,10,55,441.01,2.1,Missing Item,No
ORD100042,2025-01-06 06:00:00,Delhi,Chinese,Web,Sunny,10,72,406.94,3.4,None,Yes
ORD100043,2025-01-06 09:00:00,Chennai,Burger,Web,Rainy,30,24,332.85,3.7,None,Yes
ORD100044,2025-01-06 12:00:00,Delhi,Biryani,App,Rainy,25,29,399.05,2.8,None,No
ORD100045,2025-01-06 15:00:00,Bengaluru,Burger,App,Cloudy,10,56,441.47,3.3,None,Yes
ORD100046,2025-01-06 18:00:00,Hyderabad,Biryani,Web,Rainy,30,71,202.6,3.8,None,No
ORD100047,2025-01-06 21:00:00,Mumbai,Burger,Phone,Rainy,10,-1,unknown,4.1,None,Yes
ORD100048,2025-01-07 00:00:00,Bengaluru,Biryani,Web,Sunny,30,74,69.85,4.6,None,Yes
ORD100049,2025-01-07 03:00:00,Mumbai,Dessert,App,Cloudy,20,23,464.03,2.4,None,Yes
ORD100050,2025-01-07 06:00:00,Pune,South Indian,Phone,Cloudy,15,50,464.06,4.8,Missing Item,No
ORD100051,2025-01-07 09:00:00,Hyderabad,Biryani,App,Cloudy,15,87,770.13,3.5,None,Yes
ORD100052,2025-01-07 12:00:00,Hyderabad,Biryani,Phone,Rainy,5,50,517.6,4.2,None,Yes
ORD100053,2025-01-07 15:00:00,Bengaluru,Pizza,App,Cloudy,25,62,349.91,3.8,None,No
ORD100054,2025-01-07 18:00:00,Hyderabad,Biryani,Phone,Sunny,30,65,413.94,1.8,None,Yes
ORD100055,2025-01-07 21:00:00,Delhi,Pizza,Phone,Cloudy,0,84,537.63,1.3,None,No
ORD100056,2025-01-08 00:00:00,Hyderabad,Chinese,App,Sunny,5,88,490.97,3.9,None,Yes
ORD100057,2025-01-08 03:00:00,Mumbai,Dessert,Phone,Cloudy,5,82,554.09,3.0,None,Yes
ORD100058,2025-01-08 06:00:00,Mumbai,Pizza,Web,Cloudy,30,36,517.87,3.8,None,Yes
ORD100059,2025-01-08 09:00:00,Mumbai,South Indian,App,Sunny,30,20,404.52,2.9,None,Yes
ORD100060,2025-01-08 12:00:00,Mumbai,Dessert,Web,Cloudy,5,40,353.56,N/A,None,No
ORD100061,2025-01-08 15:00:00,Delhi,Pizza,App,Cloudy,5,89,,2.1,None,No
ORD100062,2025-01-08 18:00:00,Chennai,Dessert,Phone,Cloudy,15,-1,283.45,3.9,None,No
ORD100063,2025-01-08 21:00:00,Pune,Dessert,Phone,Rainy,0,66,255.22,2.1,None,No
ORD100064,2025-01-09 00:00:00,Bengaluru,Dessert,Phone,Sunny,5,88,780.92,3.9,None,Yes
ORD100065,2025-01-09 03:00:00,Mumbai,Chinese,App,Cloudy,15,74,472.45,N/A,None,No
ORD100066,2025-01-09 06:00:00,Hyderabad,South Indian,Web,Sunny,5,77,422.05,4.1,None,No
ORD100067,2025-01-09 09:00:00,Mumbai,Burger,Web,Sunny,10,79,,1.6,Missing Item,Yes
ORD100068,2025-01-09 12:00:00,Hyderabad,Burger,App,Sunny,5,66,,1.8,None,Yes
ORD100069,2025-01-09 15:00:00,Pune,Pizza,App,Cloudy,30,28,666.66,3.7,Missing Item,No
ORD100070,2025-01-09 18:00:00,Pune,Dessert,Web,Cloudy,25,86,580.19,3.2,None,Yes
ORD100071,2025-01-09 21:00:00,Pune,Pizza,Web,Sunny,25,82,615.89,1.8,None,No
ORD100072,2025-01-10 00:00:00,Hyderabad,Chinese,Web,Rainy,5,42,344.42,4.6,None,Yes
ORD100073,2025-01-10 03:00:00,Mumbai,Chinese,Web,Sunny,20,85,449.26,2.1,None,Yes
ORD100074,2025-01-10 06:00:00, ,Biryani,App,Rainy,10,24,346.79,2.7,None,Yes
ORD100075,2025-01-10 09:00:00,Delhi,Chinese,App,Sunny,0,71,,1.8,None,Yes
ORD100076,2025-01-10 12:00:00,Hyderabad,Biryani,Phone,Sunny,5,80,679.07,2.6,Missing Item,Yes
ORD100077,2025-01-10 15:00:00,Hyderabad,South Indian,Web,Sunny,0,64,529.09,3.0,None,Yes
ORD100078,2025-01-10 18:00:00,Mumbai,Pizza,Phone,Cloudy,10,28,742.81,2.2,None,Yes
ORD100079,2025-01-10 21:00:00,Hyderabad,South Indian,App,Rainy,5,30,398.07,4.1,Late Delivery,No
ORD100080,2025-01-11 00:00:00,Hyderabad,Chinese,App,Rainy,20,68,,2.6,Late Delivery,Yes
ORD100081,2025-01-11 03:00:00,Pune,South Indian,Phone,Sunny,15,57,542.18,3.9,None,No
ORD100082,2025-01-11 06:00:00,Mumbai,South Indian,Web,Cloudy,20,56,471.39,1.8,None,Yes
ORD100083,2025-01-11 09:00:00,Pune,South Indian,Web,Cloudy,30,36,508.09,2.5,None,No
ORD100084,2025-01-11 12:00:00,Pune,Chinese,Web,Rainy,20,82,481.18,1.0,None,No
ORD100085,2025-01-11 15:00:00,Mumbai,Dessert,Web,Cloudy,15,33,362.8,4.0,None,Yes
ORD100086,2025-01-11 18:00:00,Bengaluru,South Indian,Phone,Rainy,30,80,485.23,3.5,None,No
ORD100087,2025-01-11 21:00:00, ,Biryani,Phone,Rainy,15,53,625.21,4.3,None,Yes
ORD100088,2025-01-12 00:00:00,Delhi,Chinese,App,Rainy,25,87,643.7,2.8,Packaging,Yes
ORD100089,2025-01-12 03:00:00, ,South Indian,Web,Cloudy,15,33,361.89,4.2,Packaging,No
ORD100090,2025-01-12 06:00:00,Hyderabad,Dessert,Web,Rainy,5,30,491.58,3.6,None,Yes
ORD100091,2025-01-12 09:00:00,Delhi,Chinese,Web,Rainy,0,68,715.88,1.0,None,Yes
ORD100092,2025-01-12 12:00:00,Hyderabad,Burger,Phone,Sunny,25,39,365.78,2.0,None,Yes
ORD100093,2025-01-12 15:00:00,Bengaluru,Dessert,Web,Rainy,25,32,333.1,3.0,None,No
ORD100094,2025-01-12 18:00:00,Mumbai,Biryani,Phone,Rainy,0,37,,3.5,None,No
ORD100095,2025-01-12 21:00:00,Mumbai,South Indian,Web,Sunny,25,25,561.41,1.3,Packaging,Yes
ORD100096,2025-01-13 00:00:00,Mumbai,Burger,Web,Sunny,15,53,299.34,3.8,None,No
ORD100097,2025-01-13 03:00:00,Delhi,Burger,App,Cloudy,20,82,198.1,3.2,None,No
ORD100098,2025-01-13 06:00:00,Bengaluru,Chinese,Web,Rainy,10,39,488.08,3.1,None,No
ORD100099,2025-01-13 09:00:00,Delhi,Burger,Web,Cloudy,15,77,374.65,2.2,Missing Item,Yes
ORD100100,2025-01-13 12:00:00,Delhi,Biryani,App,Cloudy,30,44,146.87,3.4,Packaging,No
ORD100101,2025-01-13 15:00:00,Bengaluru,Biryani,Phone,Sunny,30,59,326.3,1.1,Late Delivery,No
ORD100102,2025-01-13 18:00:00,Bengaluru,Pizza,Phone,Cloudy,20,75,558.47,1.3,None,Yes
ORD100103,2025-01-13 21:00:00,Bengaluru,Biryani,Web,Rainy,20,65,422.75,3.9,None,No
ORD100104,2025-01-14 00:00:00,Bengaluru,Dessert,Phone,Sunny,25,23,731.9,2.3,None,Yes
ORD100105,2025-01-14 03:00:00,Mumbai,Burger,Web,Rainy,5,16,74.3,2.4,None,Yes
ORD100106,2025-01-14 06:00:00,Chennai,Biryani,App,Rainy,5,19,690.84,1.8,Late Delivery,No
ORD100107,2025-01-14 09:00:00,Chennai,Chinese,App,Sunny,25,76,388.1,2.8,None,No
ORD100108,2025-01-14 12:00:00,Bengaluru,Pizza,Web,Rainy,25,83,362.08,1.2,None,Yes
ORD100109,2025-01-14 15:00:00, ,Burger,App,Sunny,0,66,170.79,2.2,None,Yes
ORD100110,2025-01-14 18:00:00,Chennai,Pizza,App,Rainy,0,19,533.71,3.1,None,No
ORD100111,2025-01-14 21:00:00,Bengaluru,Burger,Web,Sunny,10,73,,2.9,None,No
ORD100112,2025-01-15 00:00:00,Chennai,Chinese,Web,Cloudy,10,-1,597.22,5.0,None,No
ORD100113,2025-01-15 03:00:00,Delhi,Pizza,App,Rainy,10,23,177.59,2.6,None,No
ORD100114,2025-01-15 06:00:00,Hyderabad,South Indian,Phone,Sunny,10,36,205.97,2.5,None,No
ORD100115,2025-01-15 09:00:00,Hyderabad,Dessert,Phone,Rainy,20,41,235.58,3.0,Packaging,Yes
ORD100116,2025-01-15 12:00:00,Bengaluru,Dessert,Web,Rainy,20,24,321.13,N/A,None,No
ORD100117,2025-01-15 15:00:00,Mumbai,Burger,Web,Rainy,0,75,619.57,4.5,None,Yes
ORD100118,2025-01-15 18:00:00,Bengaluru,South Indian,Phone,Sunny,5,65,720.71,3.3,None,No
ORD100119,2025-01-15 21:00:00,Mumbai,Pizza,App,Cloudy,25,-1,339.73,1.8,None,Yes
ORD100120,2025-01-16 00:00:00,Hyderabad,South Indian,Phone,Cloudy,30,20,441.62,4.2,Wrong Item,Yes
ORD100121,2025-01-16 03:00:00,Bengaluru,South Indian,Phone,Cloudy,5,76,538.19,1.1,None,No
ORD100122,2025-01-16 06:00:00,Pune,Pizza,Phone,Sunny,15,19,390.72,4.9,None,No
ORD100123,2025-01-16 09:00:00,Delhi,Chinese,Phone,Cloudy,20,84,531.14,4.5,Missing Item,No
ORD100124,2025-01-16 12:00:00,Chennai,South Indian,Web,Sunny,10,77,449.27,3.3,Late Delivery,No
ORD100125,2025-01-16 15:00:00,Mumbai,South Indian,Web,Rainy,10,70,404.38,1.4,None,Yes
ORD100126,2025-01-16 18:00:00,Pune,Chinese,App,Rainy,15,73,194.43,1.9,None,No
ORD100127,2025-01-16 21:00:00,Chennai,South Indian,App,Cloudy,5,-1,476.83,2.1,None,Yes
ORD100128,2025-01-17 00:00:00,Chennai,South Indian,App,Sunny,10,73,622.51,2.0,Late Delivery,Yes
ORD100129,2025-01-17 03:00:00,Bengaluru,South Indian,App,Rainy,5,65,309.91,N/A,None,Yes
ORD100130,2025-01-17 06:00:00,Chennai,Dessert,Phone,Sunny,25,64,95.71,4.8,None,No
ORD100131,2025-01-17 09:00:00,Delhi,Biryani,Web,Sunny,15,18,392.48,2.8,None,No
ORD100132,2025-01-17 12:00:00,Pune,Chinese,Web,Rainy,30,62,721.76,3.6,None,No
ORD100133,2025-01-17 15:00:00,Chennai,South Indian,App,Sunny,5,46,668.15,3.8,Wrong Item,Yes
ORD100134,2025-01-17 18:00:00,Bengaluru,Dessert,App,Rainy,25,65,345.52,4.5,Packaging,Yes
ORD100135,2025-01-17 21:00:00,Delhi,Chinese,Phone,Rainy,5,66,531.99,1.1,None,Yes
ORD100136,2025-01-18 00:00:00,Hyderabad,Burger,Phone,Rainy,5,-1,560.44,2.6,None,Yes
ORD100137,2025-01-18 03:00:00,Pune,Burger,App,Sunny,10,48,718.26,4.1,None,Yes
ORD100138,2025-01-18 06:00:00,Chennai,South Indian,Web,Rainy,0,50,170.9,4.3,Packaging,No
ORD100139,2025-01-18 09:00:00,Bengaluru,Dessert,Web,Sunny,20,84,257.61,4.7,Late Delivery,No
ORD100140,2025-01-18 12:00:00,Hyderabad,Dessert,Web,Rainy,5,57,88.24,3.8,Missing Item,Yes
ORD100141,2025-01-18 15:00:00,Hyderabad,Chinese,App,Rainy,5,30,327.89,2.0,Missing Item,Yes
ORD100142,2025-01-18 18:00:00, ,Chinese,Web,Cloudy,5,73,641.94,3.0,None,No
ORD100143,2025-01-18 21:00:00, ,Dessert,Phone,Cloudy,0,67,349.25,1.1,Late Delivery,No
ORD100144,2025-01-19 00:00:00,Chennai,Chinese,Phone,Cloudy,25,33,,3.6,None,No
ORD100145,2025-01-19 03:00:00,Bengaluru,Dessert,App,Sunny,30,55,490.79,3.2,None,Yes
ORD100146,2025-01-19 06:00:00,Mumbai,Biryani,Phone,Sunny,30,61,,3.7,None,Yes
ORD100147,2025-01-19 09:00:00,Delhi,Dessert,App,Rainy,15,-1,266.93,4.7,None,No
ORD100148,2025-01-19 12:00:00,Mumbai,Burger,Web,Rainy,10,69,358.91,3.7,Late Delivery,Yes
ORD100149,2025-01-19 15:00:00,Pune,Chinese,Web,Rainy,0,33,,2.3,None,No
ORD100150,2025-01-19 18:00:00,Delhi,Dessert,Web,Rainy,25,76,584.28,1.8,Wrong Item,Yes
ORD100151,2025-01-19 21:00:00,Delhi,Dessert,Phone,Sunny,5,73,333.2,4.4,None,Yes
ORD100152,2025-01-20 00:00:00,Chennai,Chinese,App,Rainy,25,79,307.26,1.8,None,No
ORD100153,2025-01-20 03:00:00,Delhi,Biryani,Web,Rainy,0,82,794.26,1.6,None,Yes
ORD100154,2025-01-20 06:00:00,Mumbai,Biryani,App,Cloudy,0,42,400.68,1.8,None,No
ORD100155,2025-01-20 09:00:00,Delhi,Chinese,Web,Rainy,0,32,494.9,3.0,None,Yes
ORD100156,2025-01-20 12:00:00,Chennai,Pizza,Phone,Rainy,15,40,566.71,1.5,None,No
ORD100157,2025-01-20 15:00:00,Chennai,Chinese,Phone,Rainy,20,33,128.36,4.8,Wrong Item,Yes
ORD100158,2025-01-20 18:00:00,Pune,Chinese,App,Sunny,10,69,446.67,4.9,None,Yes
ORD100159,2025-01-20 21:00:00,Mumbai,Biryani,Phone,Cloudy,15,71,153.77,4.9,None,Yes
ORD100160,2025-01-21 00:00:00,Hyderabad,Biryani,Phone,Rainy,15,20,426.46,1.2,Wrong Item,No
ORD100161,2025-01-21 03:00:00,Hyderabad,Chinese,App,Rainy,20,15,697.16,4.8,None,No
ORD100162,2025-01-21 06:00:00,Delhi,Chinese,Web,Cloudy,15,22,270.28,5.0,None,Yes
ORD100163,2025-01-21 09:00:00,Pune,Chinese,Phone,Rainy,0,65,150.04,4.8,None,Yes
ORD100164,2025-01-21 12:00:00,Bengaluru,Biryani,App,Sunny,0,39,789.78,3.7,None,No
ORD100165,2025-01-21 15:00:00,Delhi,Chinese,Phone,Rainy,25,61,243.53,3.8,None,No
ORD100166,2025-01-21 18:00:00,Pune,Chinese,Phone,Sunny,5,69,180.26,1.5,None,No
ORD100167,2025-01-21 21:00:00,Mumbai,South Indian,Phone,Sunny,15,78,741.43,4.5,None,No
ORD100168,2025-01-22 00:00:00,Mumbai,Pizza,Phone,Rainy,5,24,236.44,1.2,None,Yes
ORD100169,2025-01-22 03:00:00,Mumbai,Burger,App,Cloudy,10,70,746.08,2.3,None,Yes
ORD100170,2025-01-22 06:00:00,Mumbai,Pizza,App,Sunny,30,26,499.34,5.0,None,Yes
ORD100171,2025-01-22 09:00:00,Mumbai,South Indian,App,Cloudy,0,47,681.11,2.7,Missing Item,No
ORD100172,2025-01-22 12:00:00,Pune,Burger,Phone,Rainy,25,85,483.49,1.5,None,Yes
ORD100173,2025-01-22 15:00:00,Pune,Chinese,Phone,Sunny,10,31,644.35,4.9,None,Yes
ORD100174,2025-01-22 18:00:00,Chennai,South Indian,Phone,Rainy,25,75,284.68,4.9,Wrong Item,No
ORD100175,2025-01-22 21:00:00,Hyderabad,Chinese,App,Cloudy,30,24,339.55,1.7,Late Delivery,Yes
ORD100176,2025-01-23 00:00:00,Mumbai,Biryani,Phone,Rainy,30,45,69.21,4.5,Wrong Item,No
ORD100177,2025-01-23 03:00:00,Bengaluru,Dessert,Web,Rainy,20,74,624.92,2.6,Missing Item,No
ORD100178,2025-01-23 06:00:00,Pune,South Indian,Phone,Sunny,0,84,525.52,2.5,None,No
ORD100179,2025-01-23 09:00:00,Bengaluru,Biryani,Web,Rainy,10,31,268.68,2.1,None,Yes
ORD100180,2025-01-23 12:00:00,Bengaluru,South Indian,Phone,Rainy,20,64,,1.2,None,Yes
ORD100181,2025-01-23 15:00:00,Bengaluru,South Indian,App,Rainy,30,51,500.73,2.1,None,No
ORD100182,2025-01-23 18:00:00,Chennai,Biryani,Phone,Sunny,10,76,751.67,1.2,None,Yes
ORD100183,2025-01-23 21:00:00,Pune,Burger,Web,Cloudy,25,86,425.17,4.7,None,Yes
ORD100184,2025-01-24 00:00:00,Bengaluru,Pizza,Web,Cloudy,20,43,331.48,3.6,Late Delivery,No
ORD100185,2025-01-24 03:00:00,Mumbai,Chinese,Phone,Rainy,20,46,281.33,4.5,None,Yes
ORD100186,2025-01-24 06:00:00,Delhi,South Indian,Web,Sunny,0,25,674.88,3.9,None,No
ORD100187,2025-01-24 09:00:00,Bengaluru,Chinese,Web,Rainy,5,20,309.74,1.5,None,No
ORD100188,2025-01-24 12:00:00,Chennai,Dessert,App,Cloudy,25,49,383.19,4.8,None,Yes
ORD100189,2025-01-24 15:00:00,Pune,Biryani,Phone,Sunny,25,47,637.51,4.6,Late Delivery,Yes
ORD100190,2025-01-24 18:00:00,Chennai,Chinese,Phone,Cloudy,20,32,564.75,2.4,Missing Item,Yes
ORD100191,2025-01-24 21:00:00,Bengaluru,Biryani,Phone,Cloudy,20,51,,1.4,Late Delivery,Yes
ORD100192,2025-01-25 00:00:00,Pune,Chinese,Web,Sunny,0,27,324.18,3.8,None,No
ORD100193,2025-01-25 03:00:00,Delhi,Pizza,Phone,Sunny,5,88,713.8,3.9,Packaging,Yes
ORD100194,2025-01-25 06:00:00,Bengaluru,Pizza,Phone,Rainy,25,78,unknown,4.6,None,Yes
ORD100195,2025-01-25 09:00:00,Chennai,Pizza,App,Rainy,30,15,412.15,1.2,Late Delivery,No
ORD100196,2025-01-25 12:00:00,Hyderabad,Pizza,App,Cloudy,15,77,178.94,1.6,None,Yes
ORD100197,2025-01-25 15:00:00,Mumbai,Pizza,App,Sunny,15,48,664.0,3.4,None,Yes
ORD100198,2025-01-25 18:00:00,Chennai,Pizza,Web,Sunny,5,24,364.52,3.5,Missing Item,No
ORD100199,2025-01-25 21:00:00,Pune,Biryani,Phone,Rainy,10,21,324.07,1.1,None,Yes
ORD100200,2025-01-26 00:00:00,Bengaluru,South Indian,App,Cloudy,0,70,569.1,2.6,Wrong Item,No
ORD100201,2025-01-26 03:00:00,Mumbai,Chinese,App,Cloudy,5,51,193.41,3.3,None,No
ORD100202,2025-01-26 06:00:00,Bengaluru,Pizza,App,Rainy,15,43,564.37,4.0,Wrong Item,No
ORD100203,2025-01-26 09:00:00,Pune,Biryani,Phone,Sunny,20,26,385.1,2.3,Missing Item,No
ORD100204,2025-01-26 12:00:00,Bengaluru,Biryani,Phone,Rainy,15,31,233.05,2.9,None,Yes
ORD100205,2025-01-26 15:00:00,Hyderabad,Biryani,Phone,Rainy,20,62,271.75,4.3,None,No
ORD100206,2025-01-26 18:00:00,Mumbai,South Indian,Web,Rainy,0,40,326.84,4.8,None,No
ORD100207,2025-01-26 21:00:00,Mumbai,Chinese,Web,Rainy,20,26,370.07,N/A,Packaging,Yes
ORD100208,2025-01-27 00:00:00,Pune,South Indian,App,Sunny,5,35,234.27,2.0,None,Yes
ORD100209,2025-01-27 03:00:00,Hyderabad,Burger,Phone,Rainy,20,56,503.01,N/A,None,No
ORD100210,2025-01-27 06:00:00,Chennai,Biryani,App,Sunny,10,75,229.55,2.6,None,Yes
ORD100211,2025-01-27 09:00:00,Bengaluru,Burger,Phone,Rainy,5,72,24.28,3.9,None,No
ORD100212,2025-01-27 12:00:00,Delhi,Dessert,Phone,Cloudy,0,68,795.53,3.4,None,No
ORD100213,2025-01-27 15:00:00,Bengaluru,Pizza,Phone,Sunny,5,48,485.63,2.1,None,Yes
ORD100214,2025-01-27 18:00:00,Bengaluru,Pizza,Web,Cloudy,10,21,811.71,3.6,Packaging,Yes
ORD100215,2025-01-27 21:00:00,Chennai,South Indian,Web,Rainy,0,49,262.14,3.6,None,Yes
ORD100216,2025-01-28 00:00:00,Bengaluru,Chinese,Phone,Rainy,15,29,unknown,3.4,None,Yes
ORD100217,2025-01-28 03:00:00,Hyderabad,Burger,App,Rainy,10,79,611.03,1.4,None,Yes
ORD100218,2025-01-28 06:00:00,Hyderabad,Chinese,Phone,Sunny,0,39,415.92,5.0,None,No
ORD100219,2025-01-28 09:00:00,Mumbai,South Indian,Phone,Cloudy,30,73,190.0,2.6,Packaging,No
ORD100220,2025-01-28 12:00:00,Pune,Pizza,App,Sunny,20,20,402.39,3.6,None,No
ORD100221,2025-01-28 15:00:00,Delhi,Chinese,Phone,Sunny,5,66,562.75,N/A,None,No
ORD100222,2025-01-28 18:00:00,Bengaluru,Chinese,App,Rainy,0,35,555.88,2.7,None,Yes
ORD100223,2025-01-28 21:00:00,Bengaluru,Pizza,Web,Cloudy,5,85,449.71,4.1,Packaging,No
ORD100224,2025-01-29 00:00:00,Chennai,Burger,Web,Rainy,20,46,611.51,4.9,Missing Item,Yes
ORD100225,2025-01-29 03:00:00,Pune,Pizza,App,Sunny,0,67,603.02,2.4,None,Yes
ORD100226,2025-01-29 06:00:00,Hyderabad,Chinese,Web,Rainy,15,73,355.74,2.6,None,Yes
ORD100227,2025-01-29 09:00:00,Delhi,Burger,Web,Cloudy,30,83,176.32,4.6,None,Yes
ORD100228,2025-01-29 12:00:00,Mumbai,Burger,App,Rainy,30,76,484.28,1.6,Late Delivery,Yes
ORD100229,2025-01-29 15:00:00,Hyderabad,Pizza,Web,Cloudy,10,18,315.61,1.1,None,Yes
ORD100230,2025-01-29 18:00:00,Pune,Chinese,Phone,Cloudy,0,32,475.87,4.6,Missing Item,Yes
ORD100231,2025-01-29 21:00:00,Mumbai,South Indian,Phone,Rainy,20,70,692.2,4.3,Wrong Item,No
ORD100232,2025-01-30 00:00:00,Chennai,Chinese,App,Sunny,0,38,528.75,4.9,Wrong Item,Yes
ORD100233,2025-01-30 03:00:00,Chennai,Biryani,Web,Rainy,5,80,683.33,1.2,None,No
ORD100234,2025-01-30 06:00:00,Bengaluru,Dessert,Phone,Sunny,25,27,267.93,1.6,None,Yes
ORD100235,2025-01-30 09:00:00,Pune,South Indian,Phone,Sunny,0,76,645.74,1.4,Late Delivery,Yes
ORD100236,2025-01-30 12:00:00,Delhi,Burger,Web,Rainy,30,68,751.79,3.7,None,Yes
ORD100237,2025-01-30 15:00:00,Mumbai,South Indian,Web,Sunny,30,29,461.58,3.4,None,Yes
ORD100238,2025-01-30 18:00:00,Hyderabad,Burger,Phone,Sunny,30,83,867.97,2.4,None,No
ORD100239,2025-01-30 21:00:00,Pune,Burger,Phone,Rainy,15,17,295.66,1.2,None,Yes
ORD100240,2025-01-31 00:00:00,Pune,South Indian,App,Rainy,0,51,335.01,3.6,None,Yes
ORD100241,2025-01-31 03:00:00,Chennai,Burger,App,Rainy,10,51,566.99,3.3,None,Yes
ORD100242,2025-01-31 06:00:00,Bengaluru,Burger,Phone,Sunny,0,17,459.8,1.5,None,Yes
ORD100243,2025-01-31 09:00:00,Bengaluru,Biryani,App,Cloudy,25,77,316.28,4.6,None,No
ORD100244,2025-01-31 12:00:00,Mumbai,Chinese,Phone,Sunny,30,49,561.44,1.8,None,Yes
ORD100245,2025-01-31 15:00:00,Chennai,Chinese,Phone,Cloudy,5,66,514.0,4.0,None,Yes
ORD100246,2025-01-31 18:00:00,Pune,Dessert,App,Rainy,30,42,,4.5,None,Yes
